time_label,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20
time point 92,0.587,0.0,0.213,0.093,0.0,0.027,0.027,0.013,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.0,0.0,0.0
time point 93,0.51,0.0,0.176,0.157,0.0,0.0,0.039,0.039,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.059,0.0,0.0,0.0
time point 94,0.593,0.0,0.074,0.111,0.0,0.037,0.111,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0
time point 95,0.656,0.0,0.182,0.036,0.0,0.036,0.036,0.036,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.0
time point 96,0.619,0.0,0.257,0.041,0.0,0.014,0.014,0.027,0.0,0.0,0.014,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0
time point 97,0.6,0.0,0.267,0.053,0.0,0.0,0.027,0.027,0.0,0.013,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time point 98,0.632,0.0,0.265,0.029,0.0,0.015,0.015,0.029,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time point 99,0.635,0.0,0.22,0.049,0.0,0.024,0.024,0.0,0.0,0.024,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time point 100,0.462,0.0,0.192,0.212,0.0,0.019,0.058,0.019,0.0,0.019,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time point 101,0.487,0.0,0.25,0.163,0.0,0.013,0.037,0.037,0.0,0.0,0.0,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0
time point 102,0.509,0.0,0.295,0.082,0.0,0.016,0.016,0.066,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0
time point 103,0.535,0.0,0.276,0.017,0.0,0.017,0.052,0.103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time point 104,0.51,0.0,0.265,0.0,0.0,0.0,0.082,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time point 105,0.333,0.0,0.292,0.125,0.0,0.0,0.042,0.208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time point 106,0.326,0.0,0.302,0.256,0.0,0.023,0.023,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time point 107,0.431,0.0,0.259,0.19,0.0,0.017,0.017,0.086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time point 108,0.445,0.0,0.267,0.067,0.0,0.044,0.022,0.133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.0
