term,presence,absence,IG
certainly,380,566,0.9719313663535543
development,380,566,0.9719313663535543
involve,380,566,0.9719313663535543
choose,380,566,0.9719313663535543
tim,380,566,0.9719313663535543
add,380,566,0.9719313663535543
subject,379,567,0.9713203977483935
invest,379,567,0.9713203977483935
sense,379,567,0.9713203977483935
major,379,567,0.9713203977483935
infrastructure,379,567,0.9713203977483935
chance,379,567,0.9713203977483935
kingdom,379,567,0.9713203977483935
pleasure,379,567,0.9713203977483935
hospital,379,567,0.9713203977483935
transport,379,567,0.9713203977483935
dean,379,567,0.9713203977483935
contribute,379,567,0.9713203977483935
train,379,567,0.9713203977483935
laura,379,567,0.9713203977483935
target,379,567,0.9713203977483935
produce,379,567,0.9713203977483935
ability,379,567,0.9713203977483935
environment,378,568,0.9707027155865148
food,378,568,0.9707027155865148
house,568,378,0.9707027155865148
half,378,568,0.9707027155865148
refer,378,568,0.9707027155865148
personal,377,569,0.9700783139580722
incredibly,377,569,0.9700783139580722
reflect,377,569,0.9700783139580722
list,377,569,0.9700783139580722
draw,377,569,0.9700783139580722
watch,377,569,0.9700783139580722
baker,377,569,0.9700783139580722
amanda,377,569,0.9700783139580722
sadly,377,569,0.9700783139580722
delighted,377,569,0.9700783139580722
campbell,376,570,0.9694471868801025
control,376,570,0.9694471868801025
ward,376,570,0.9694471868801025
war,376,570,0.9694471868801025
statement,376,570,0.9694471868801025
short,376,570,0.9694471868801025
prevent,376,570,0.9694471868801025
despite,376,570,0.9694471868801025
justice,376,570,0.9694471868801025
figure,376,570,0.9694471868801025
remove,375,571,0.968809328296161
confirm,375,571,0.968809328296161
wales,375,571,0.968809328296161
bit,375,571,0.968809328296161
true,375,571,0.968809328296161
affect,375,571,0.968809328296161
event,375,571,0.968809328296161
extend,375,571,0.968809328296161
relate,374,572,0.9681647320759545
accept,374,572,0.9681647320759545
response,374,572,0.9681647320759545
manage,374,572,0.9681647320759545
stage,374,572,0.9681647320759545
struggle,374,572,0.9681647320759545
outside,374,572,0.9681647320759545
engage,374,572,0.9681647320759545
kit,374,572,0.9681647320759545
slaughter,374,572,0.9681647320759545
aware,374,572,0.9681647320759545
meeting,373,573,0.9675133920149658
win,373,573,0.9675133920149658
wilson,373,573,0.9675133920149658
read,373,573,0.9675133920149658
